Youtube	Spotify
ツバメ (feat. ミドリーズ)	ツバメ (feat. ミドリーズ)
YOASOBI	YOASOBI
もしも命が描けたら	もしも命が描けたら
YOASOBI	YOASOBI
Meteor Shower	流星群
Novelbright	Novelbright
Phantom Thief	怪盗
back number	back number
d.s.m	d.s.m
tonun	tonun
LADY	LADY
Kenshi Yonezu	Kenshi Yonezu
LonelyZombieWonderland	ロンリーゾンビーワンダーランド
I Don't Like Mondays.	I Don't Like Mondays.
Utsukushikisekai	美しき世界
I Don't Like Mondays.	I Don't Like Mondays.
MR.CLEVER	MR.CLEVER
I Don't Like Mondays.	I Don't Like Mondays.
autumn orange	autumn orange
AAA	AAA
さよならの前に	さよならの前に
AAA	AAA
hanataba	hanataba
macico	macico
custom-made	オーダーメイド
Omoinotake	Omoinotake
Billimillion	ビリミリオン
Yuuri	Yuuri
Astronauts	アストロノーツ
Yuuri	Yuuri
Cantabile	Cantabile
Novelbright	Novelbright
Tattoo	Tattoo
OFFICIAL HIGE DANDISM	OFFICIAL HIGE DANDISM
宿命	Shukumei
Official髭男dism	OFFICIAL HIGE DANDISM
Flow	Flow
Maica_n	Maica_n
Bokunomamade	僕のままで
Taichi Mukai	Taichi Mukai
Laundry	Laundry
Yoh Kamiyama	Yoh kamiyama
Hoshizukiyo	星月夜
YU-KA	YU-KA
The day we become eternal love,not lovers	恋人じゃなくなった日
Yuuri	Yuuri
Soranji	Soranji
Mrs. GREEN APPLE	Mrs. GREEN APPLE
Utsukushii Hire	美しい鰭
Spitz	SPITZ
Kaiju no Hanauta	怪獣の花唄
Vaundy	Vaundy
sonna bitter na hanashi	そんなbitterな話
Vaundy	Vaundy
Souvenir	SOUVENIR
BUMP OF CHICKEN	BUMP OF CHICKEN
PLACEBO + Yojiro Noda	PLACEBO + 野田洋次郎
Kenshi Yonezu	Kenshi Yonezu
もう少しだけ	もう少しだけ
YOASOBI	YOASOBI
あの夢をなぞって	あの夢をなぞって
YOASOBI	YOASOBI
Tokimeki	Tokimeki
Vaundy	Vaundy
I Love You	アイラブユー
back number	back number
Uma to Shika	馬と鹿
Kenshi Yonezu	Kenshi Yonezu
Would you say?	君は言うかな
tonun	tonun
Marigold	Marigold
aimyon	Aimyon
Kimi Wa Rock Wo Kikanai	君はロックを聴かない
aimyon	Aimyon
Ai Wo Tsutaetaidatoka	愛を伝えたいだとか
aimyon	Aimyon
Let the Night	今夜このまま
aimyon	Aimyon
Takaneno Hanakosan	高嶺の花子さん
back number	back number
Ainokatachi feat.HIDE(GReeeeN) (feat. hide)	アイノカタチ
Misia	MISIA
